campaign_id,campaign_name,channel,start_date,end_date,budget
20143,Compatible secondary projection,Google Ads,2024-09-22,2025-07-18,15346
20144,Centralized fresh-thinking portal,Social Media,2024-09-11,2025-08-02,15966
20145,Adaptive directional leverage,Google Ads,2024-04-12,2025-08-13,13280
20146,Intuitive bandwidth-monitored paradigm,Google Ads,2024-04-26,2025-07-23,17706
20147,Front-line client-server workforce,Email,2023-09-02,2025-07-26,6649
20148,Open-architected non-volatile matrix,Email,2024-06-05,2025-07-25,2412
20149,Object-based bottom-line complexity,Google Ads,2023-10-08,2025-07-22,1024
20150,Persistent bottom-line framework,Social Media,2025-02-10,2025-07-20,15578
20151,Automated even-keeled leverage,Google Ads,2024-04-24,2025-07-27,18888
20152,Ergonomic asynchronous analyzer,Email,2024-05-23,2025-08-14,13525
20153,Horizontal bi-directional open architecture,Google Ads,2025-06-20,2025-07-23,11110
20154,Up-sized global open system,Google Ads,2023-09-02,2025-08-12,10601
20155,Seamless client-server function,Email,2025-01-27,2025-08-08,17390
20156,Versatile tertiary hierarchy,Email,2024-07-22,2025-08-02,6360
20157,Public-key 5thgeneration utilization,Social Media,2025-07-13,2025-07-28,8323
20158,Automated encompassing data-warehouse,Email,2023-08-09,2025-08-14,2104
20159,Seamless reciprocal interface,Email,2023-11-27,2025-07-22,6173
20160,Intuitive didactic pricing structure,Social Media,2023-10-10,2025-07-30,12037
20161,Cross-platform user-facing Internet solution,Email,2024-05-18,2025-07-28,3985
20162,Networked upward-trending algorithm,Email,2024-04-01,2025-08-07,16639
20163,Reverse-engineered leadingedge protocol,Google Ads,2024-11-08,2025-08-07,19163
20164,Cloned 3rdgeneration groupware,Social Media,2024-12-06,2025-08-14,5598
20165,Balanced reciprocal Local Area Network,Email,2025-05-12,2025-08-13,7181
20166,User-centric eco-centric data-warehouse,Google Ads,2024-08-09,2025-07-31,9991
20167,Up-sized encompassing task-force,Google Ads,2025-01-07,2025-07-24,11222
20168,Versatile incremental monitoring,Social Media,2023-07-31,2025-08-04,7221
20169,Reactive fresh-thinking encoding,Email,2024-01-10,2025-08-06,9770
20170,Focused background circuit,Social Media,2025-06-15,2025-08-04,14236
20171,Configurable zero-defect process improvement,Email,2024-07-16,2025-07-26,14660
20172,Mandatory human-resource success,Email,2025-01-22,2025-08-11,1029
20173,Reactive tangible capacity,Social Media,2024-10-25,2025-07-30,16113
20174,Ameliorated user-facing core,Social Media,2024-04-09,2025-08-16,2585
20175,Horizontal intangible workforce,Social Media,2023-12-13,2025-07-24,2793
20176,Multi-channeled bandwidth-monitored alliance,Email,2023-10-23,2025-07-19,18977
20177,Open-source 24/7 strategy,Social Media,2024-02-29,2025-08-13,15231
20178,Visionary value-added project,Google Ads,2024-12-07,2025-07-22,16838
20179,Focused heuristic flexibility,Social Media,2023-12-05,2025-07-28,10545
20180,Exclusive global capacity,Email,2025-06-04,2025-08-13,7518
20181,Front-line homogeneous data-warehouse,Google Ads,2025-05-30,2025-08-10,15795
20182,Networked explicit groupware,Email,2023-09-11,2025-08-16,7235
20183,Universal bifurcated application,Social Media,2025-06-24,2025-07-20,18544
20184,Fully-configurable directional open architecture,Google Ads,2024-12-05,2025-07-24,9180
20185,Quality-focused directional toolset,Social Media,2023-12-01,2025-08-02,19096
20186,De-engineered actuating challenge,Email,2024-02-26,2025-07-28,12248
20187,Organic dedicated open architecture,Google Ads,2024-06-18,2025-08-08,9130
20188,Mandatory incremental circuit,Social Media,2023-07-29,2025-08-07,16857
20189,Customer-focused attitude-oriented Graphic Interface,Email,2024-09-30,2025-08-02,1576
20190,Enterprise-wide methodical Local Area Network,Email,2024-12-17,2025-07-22,15495
20191,Enhanced even-keeled functionalities,Google Ads,2024-03-12,2025-07-24,4866
20192,Customizable transitional conglomeration,Social Media,2025-01-19,2025-08-14,12843
20193,Persistent modular focus group,Google Ads,2025-04-30,2025-07-20,3878
20194,Visionary national leverage,Email,2024-10-30,2025-08-13,10403
20195,Innovative national help-desk,Google Ads,2025-03-16,2025-08-10,6385
20196,Focused disintermediate framework,Social Media,2024-10-06,2025-07-28,5810
20197,Operative client-driven alliance,Google Ads,2025-06-11,2025-08-04,19051
20198,Down-sized dedicated project,Social Media,2024-04-19,2025-08-08,18672
20199,De-engineered explicit Graphic Interface,Social Media,2023-11-12,2025-08-07,16776
20200,Phased full-range collaboration,Social Media,2025-02-09,2025-07-30,7274
20201,Persevering holistic strategy,Email,2024-12-11,2025-08-02,11518
20202,Phased needs-based architecture,Email,2025-06-20,2025-07-23,16933
20203,Optimized maximized standardization,Social Media,2025-01-24,2025-07-30,16991
20204,Advanced homogeneous infrastructure,Google Ads,2025-07-13,2025-08-10,17315
20205,Profit-focused coherent projection,Email,2025-02-27,2025-07-19,5712
20206,Multi-channeled optimizing help-desk,Social Media,2025-04-02,2025-07-24,13176
20207,Multi-lateral homogeneous complexity,Google Ads,2025-05-21,2025-07-31,4492
20208,Team-oriented local algorithm,Email,2024-03-28,2025-07-22,3423
20209,Reverse-engineered scalable algorithm,Email,2024-01-28,2025-07-29,19205
20210,Profit-focused incremental collaboration,Google Ads,2024-11-25,2025-07-28,17923
20211,Open-architected bi-directional archive,Email,2025-01-21,2025-08-01,1367
20212,Monitored composite initiative,Social Media,2023-11-23,2025-07-28,6902
20213,Integrated interactive knowledge user,Email,2024-02-18,2025-07-25,17826
20214,Down-sized system-worthy paradigm,Google Ads,2025-02-05,2025-07-28,19112
20215,Persevering human-resource initiative,Google Ads,2024-03-20,2025-08-08,3931
20216,Secured modular process improvement,Google Ads,2025-04-01,2025-08-01,8776
20217,Assimilated coherent system engine,Email,2023-11-04,2025-08-05,6636
20218,Reduced interactive array,Email,2023-12-18,2025-08-11,18205
20219,Programmable static open system,Google Ads,2024-05-02,2025-07-23,12545
20220,Robust even-keeled migration,Google Ads,2025-06-29,2025-07-26,5852
20221,Expanded logistical orchestration,Social Media,2024-11-05,2025-08-08,17112
20222,Configurable zero-defect forecast,Google Ads,2025-03-05,2025-07-29,4385
20223,Triple-buffered actuating analyzer,Google Ads,2024-11-10,2025-08-02,15647
20224,Phased web-enabled protocol,Email,2024-03-07,2025-07-31,12575
20225,Intuitive motivating open architecture,Google Ads,2024-12-05,2025-07-29,6469
20226,Programmable explicit parallelism,Email,2025-06-01,2025-07-21,6462
20227,Secured leadingedge support,Social Media,2025-06-06,2025-07-22,16598
20228,Profit-focused modular customer loyalty,Email,2024-07-31,2025-08-01,13576
20229,Persistent mission-critical policy,Email,2024-05-28,2025-08-12,5716
20230,Advanced coherent pricing structure,Social Media,2024-10-13,2025-07-25,18508
20231,Versatile next generation data-warehouse,Social Media,2023-08-24,2025-08-03,14497
20232,Profit-focused scalable contingency,Email,2024-01-26,2025-08-15,7141
20233,Business-focused multi-tasking protocol,Social Media,2025-06-06,2025-08-05,1086
20234,Innovative bottom-line database,Social Media,2025-06-12,2025-08-16,7747
20235,Reverse-engineered multi-tasking framework,Google Ads,2025-01-20,2025-08-11,8497
20236,Upgradable motivating benchmark,Email,2024-02-11,2025-07-22,9448
20237,Cloned content-based capability,Google Ads,2024-11-24,2025-07-24,5691
20238,Adaptive clear-thinking forecast,Email,2024-05-12,2025-07-31,8885
20239,Universal real-time Graphic Interface,Google Ads,2024-02-13,2025-07-24,8619
20240,Re-contextualized cohesive encryption,Email,2024-06-17,2025-07-20,1656
20241,Down-sized multimedia toolset,Email,2024-10-02,2025-07-23,17778
20242,Optional incremental extranet,Social Media,2024-09-24,2025-08-14,1230
20243,Upgradable national capacity,Google Ads,2024-05-26,2025-07-21,12414
20244,Front-line analyzing synergy,Email,2024-08-13,2025-07-24,15472
20245,Realigned zero tolerance hub,Social Media,2025-06-16,2025-08-08,7796
20246,Centralized 5thgeneration attitude,Email,2025-05-03,2025-07-21,6869
20247,Fully-configurable asymmetric hub,Google Ads,2024-11-04,2025-07-18,2926
20248,Function-based leadingedge core,Social Media,2024-06-24,2025-08-16,3944
20249,Public-key bandwidth-monitored methodology,Email,2023-12-06,2025-07-31,16659
20250,Intuitive object-oriented contingency,Email,2023-10-20,2025-08-10,2670
20251,Team-oriented 4thgeneration leverage,Google Ads,2023-10-28,2025-08-10,19545
20252,Persevering solution-oriented neural-net,Email,2024-01-04,2025-07-23,14049
20253,Automated eco-centric adapter,Social Media,2024-03-06,2025-08-12,6034
20254,Switchable context-sensitive matrix,Email,2024-06-02,2025-08-16,11523
20255,Sharable holistic framework,Google Ads,2024-05-27,2025-07-19,7783
20256,Open-source mission-critical conglomeration,Social Media,2025-04-26,2025-08-12,17002
20257,Visionary responsive methodology,Email,2024-02-04,2025-07-19,13019
20258,Reactive disintermediate artificial intelligence,Google Ads,2023-12-22,2025-07-21,6809
20259,Cross-platform interactive success,Email,2024-02-15,2025-07-20,11065
20260,De-engineered hybrid strategy,Google Ads,2024-12-02,2025-08-03,10682
20261,Public-key attitude-oriented interface,Email,2023-10-25,2025-07-24,2722
20262,Versatile 3rdgeneration superstructure,Social Media,2023-12-19,2025-07-30,3549
20263,Organic fresh-thinking forecast,Google Ads,2023-12-18,2025-08-15,14630
20264,Optional 4thgeneration open system,Email,2024-07-23,2025-08-14,14550
20265,Ameliorated incremental firmware,Google Ads,2024-01-16,2025-08-08,5107
20266,Persevering full-range matrices,Social Media,2024-09-08,2025-07-23,4827
20267,Decentralized systemic forecast,Email,2024-05-03,2025-08-14,2251
20268,Ameliorated even-keeled task-force,Email,2024-07-30,2025-08-15,1369
20269,Assimilated grid-enabled ability,Social Media,2024-07-09,2025-08-13,10117
20270,Devolved clear-thinking installation,Social Media,2024-08-21,2025-07-24,1574
20271,Enterprise-wide empowering knowledgebase,Social Media,2023-09-29,2025-07-26,15581
20272,Reduced secondary conglomeration,Google Ads,2024-01-04,2025-07-20,5359
20273,Monitored empowering website,Social Media,2025-01-15,2025-08-04,1257
20274,Face-to-face bandwidth-monitored emulation,Google Ads,2025-01-14,2025-07-22,8007
20275,Expanded 4thgeneration knowledge user,Email,2024-06-04,2025-07-21,8141
20276,Self-enabling maximized moderator,Social Media,2024-03-01,2025-08-09,3166
20277,Down-sized mobile challenge,Email,2023-08-05,2025-08-09,10315
20278,Optimized non-volatile customer loyalty,Google Ads,2024-11-01,2025-08-04,3702
20279,Customizable scalable hardware,Social Media,2024-04-04,2025-07-29,7511
20280,Multi-lateral real-time core,Social Media,2024-06-05,2025-07-19,13120
20281,Customizable eco-centric benchmark,Social Media,2024-01-15,2025-08-05,4245
20282,Mandatory clear-thinking capability,Social Media,2024-03-03,2025-07-23,15360
20283,Cross-group cohesive hardware,Email,2024-06-19,2025-07-31,6362
20284,Fundamental responsive interface,Email,2024-11-28,2025-08-06,10706
20285,Enterprise-wide systemic approach,Email,2024-02-22,2025-08-07,16750
20286,Operative foreground product,Google Ads,2024-04-30,2025-08-15,6250
20287,Stand-alone optimal leverage,Google Ads,2025-06-21,2025-08-06,9062
20288,Total clear-thinking alliance,Email,2024-08-23,2025-08-15,7109
20289,User-friendly optimal function,Social Media,2025-02-22,2025-07-26,2766
20290,Digitized upward-trending system engine,Email,2024-12-28,2025-07-25,13948
20291,Reduced disintermediate middleware,Google Ads,2025-03-07,2025-07-19,9557
20292,Synergized homogeneous hardware,Google Ads,2024-04-02,2025-08-10,3429
20293,Self-enabling 24/7 implementation,Social Media,2024-04-27,2025-08-13,17017
20294,Advanced background open system,Email,2025-06-10,2025-07-19,16574
20295,Cloned exuding hierarchy,Social Media,2023-10-31,2025-07-29,1559
20296,Object-based zero-defect archive,Social Media,2024-10-29,2025-08-09,14659
20297,Distributed content-based moderator,Email,2024-05-16,2025-08-14,16952
20298,Exclusive optimal data-warehouse,Google Ads,2025-01-02,2025-07-20,11236
20299,Multi-tiered methodical throughput,Email,2023-08-05,2025-07-28,17057
20300,Robust dedicated neural-net,Email,2025-05-31,2025-08-10,12165
20301,Front-line dedicated challenge,Social Media,2023-11-30,2025-08-04,10957
20302,Optional actuating info-mediaries,Email,2024-09-16,2025-07-24,11031
20303,Inverse cohesive paradigm,Email,2024-02-24,2025-08-02,16444
20304,Configurable global instruction set,Social Media,2024-03-14,2025-07-29,3901
20305,Innovative tertiary analyzer,Email,2025-02-25,2025-07-19,12615
20306,Integrated dynamic collaboration,Email,2024-01-25,2025-07-22,4053
20307,Mandatory 4thgeneration model,Social Media,2023-09-12,2025-08-04,18132
20308,Operative bifurcated orchestration,Google Ads,2024-10-16,2025-08-04,16202
20309,Quality-focused dynamic orchestration,Social Media,2025-04-16,2025-07-23,1406
20310,Operative value-added conglomeration,Google Ads,2023-12-23,2025-07-26,16616
20311,Horizontal zero tolerance open architecture,Google Ads,2024-06-27,2025-07-24,7295
20312,Inverse dedicated core,Social Media,2024-07-27,2025-08-05,7103
20313,Seamless tertiary superstructure,Social Media,2024-03-19,2025-08-13,3255
20314,Digitized multi-tasking installation,Google Ads,2024-10-08,2025-08-07,14699
20315,Universal heuristic time-frame,Social Media,2023-08-29,2025-08-15,2639
20316,Inverse 3rdgeneration Local Area Network,Email,2024-10-27,2025-08-07,15718
20317,Configurable homogeneous benchmark,Email,2025-02-21,2025-07-23,15222
20318,Synchronized asymmetric data-warehouse,Google Ads,2024-04-16,2025-08-16,10289
20319,Face-to-face holistic synergy,Email,2024-12-20,2025-08-11,11034
20320,Extended needs-based project,Google Ads,2023-10-12,2025-08-10,11810
20321,Balanced static help-desk,Email,2024-08-18,2025-08-13,13647
20322,Diverse analyzing collaboration,Email,2025-03-13,2025-07-30,18846
20323,Seamless radical help-desk,Social Media,2025-02-06,2025-07-22,13202
20324,Future-proofed grid-enabled attitude,Social Media,2024-08-09,2025-08-12,16980
20325,Polarized client-server budgetary management,Google Ads,2025-04-21,2025-08-06,6762
20326,Quality-focused asymmetric circuit,Google Ads,2023-10-13,2025-08-14,12129
20327,Robust demand-driven architecture,Social Media,2024-06-08,2025-07-25,10893
20328,Seamless contextually-based project,Email,2024-11-19,2025-08-15,5760
20329,Optimized static archive,Social Media,2023-12-31,2025-07-18,8806
20330,Stand-alone context-sensitive neural-net,Email,2025-01-01,2025-08-10,10282
20331,Organized foreground software,Email,2024-02-05,2025-07-19,8339
20332,Public-key zero administration collaboration,Social Media,2023-07-26,2025-08-01,17599
20333,Focused object-oriented solution,Social Media,2024-10-29,2025-08-16,4401
20334,Public-key exuding frame,Email,2024-04-11,2025-07-25,2088
20335,Exclusive asynchronous website,Social Media,2025-05-09,2025-07-25,16563
20336,User-centric local parallelism,Social Media,2025-07-02,2025-08-01,7727
20337,Ergonomic mission-critical intranet,Email,2024-02-14,2025-08-06,5542
20338,Business-focused analyzing support,Email,2024-10-14,2025-08-12,14654
20339,Reduced empowering hardware,Email,2025-04-24,2025-07-29,13254
20340,Public-key mobile project,Social Media,2025-06-15,2025-07-30,12395
20341,Programmable client-server alliance,Email,2024-07-20,2025-08-16,8335
20342,Distributed demand-driven approach,Social Media,2023-11-04,2025-07-24,1674
20343,Polarized homogeneous definition,Email,2024-05-20,2025-07-31,17947
20344,Down-sized intangible support,Email,2023-09-01,2025-08-15,3276
20345,Fully-configurable national infrastructure,Social Media,2024-07-24,2025-08-14,5818
20346,Polarized secondary open architecture,Email,2025-01-31,2025-08-15,12927
20347,Public-key scalable migration,Email,2023-09-16,2025-08-05,2508
20348,Multi-lateral bifurcated protocol,Social Media,2025-01-20,2025-07-25,1731
20349,Future-proofed directional artificial intelligence,Social Media,2024-12-29,2025-08-07,15617
20350,Multi-channeled intangible Internet solution,Google Ads,2024-06-14,2025-07-28,7511
20351,Reverse-engineered eco-centric strategy,Email,2024-08-08,2025-08-11,15092
20352,Distributed maximized service-desk,Social Media,2023-10-16,2025-08-08,17387
20353,Inverse 24/7 structure,Google Ads,2023-12-19,2025-08-16,11993
20354,Polarized background monitoring,Google Ads,2024-02-28,2025-07-22,13156
20355,Synergistic demand-driven middleware,Google Ads,2023-12-18,2025-07-20,14426
20356,Devolved methodical migration,Google Ads,2024-04-23,2025-08-06,10236
20357,Innovative 24hour utilization,Email,2025-01-02,2025-08-09,10901
20358,Fully-configurable directional orchestration,Social Media,2025-04-24,2025-08-12,12310
20359,Multi-tiered encompassing firmware,Email,2024-03-09,2025-08-11,8752
20360,Assimilated multi-state budgetary management,Social Media,2023-11-29,2025-08-14,15162
20361,Optimized solution-oriented productivity,Social Media,2023-12-18,2025-07-29,6882
20362,Inverse composite hardware,Social Media,2024-08-26,2025-08-14,5666
20363,Object-based multi-state initiative,Email,2023-07-24,2025-08-15,4595
20364,Automated impactful interface,Social Media,2024-06-13,2025-08-05,13901
20365,Switchable local success,Email,2025-03-20,2025-07-28,15217
20366,Intuitive multi-state task-force,Email,2025-07-14,2025-07-23,16786
20367,Monitored high-level task-force,Social Media,2024-12-30,2025-07-26,2785
20368,Horizontal didactic middleware,Social Media,2025-01-17,2025-08-08,11229
20369,Organized empowering migration,Google Ads,2024-06-07,2025-07-31,2171
20370,Seamless explicit Graphical User Interface,Google Ads,2023-12-26,2025-07-27,4482
20371,Seamless bifurcated paradigm,Google Ads,2025-01-25,2025-08-07,10585
20372,Right-sized even-keeled customer loyalty,Google Ads,2024-07-24,2025-07-22,5907
